event_ID,order,figure,dialogue,background,figure_show,BGM,sfx,vfx,next_event,UID
a01_dialogue,1,玩家,不管你的內在如何，外表變化成怎樣,練習室,琉璃立繪,,,,, 
a01_dialogue,2,玩家,我所喜歡的正是在台上閃耀著的你,,,,,,,a01_dialogue_2
a01_dialogue,3,玩家,也是那個在成名前不斷在練習室努力著的你,,,,,,,a01_dialogue_3
a01_dialogue,4,玩家,"讓我們一起找出屬於""琉璃""自己的做法",,,,,,,a01_dialogue_4
a01_dialogue,5,琉璃,琉璃的做法……,,,,,,,a01_dialogue_5
a01_dialogue,6,系統,琉璃的內心感到了混亂,,,,,,,a01_dialogue_6
a01_dialogue,7,系統,自己究竟該以複製人的身分以本能活下去,,,,,,,a01_dialogue_7
a01_dialogue,8,系統,還是讓琉璃自己回來接管這具身體,,,,,,,a01_dialogue_8
a01_dialogue,9,系統,就在這時候體內發生了變化……,,,,,,,a01_dialogue_9
a01_dialogue,10,琉璃,嗚……,,,,,,,a01_dialogue_10
a01_dialogue,11,系統,突然琉璃跪地並有好幾根觸手從後背竄了出來,,,,,,,a01_dialogue_11
a01_dialogue,12,琉璃,怎麼回事，觸手怎麼會自己出現？,,,,,,,a01_dialogue_12
a01_dialogue,13,玩家,?！沒事吧，發生什麼……？,,,,,,,a01_dialogue_13
a01_dialogue,14,系統,幾根觸手瞬間纏住了玩家，並固定了四肢,,,,,,,a01_dialogue_14
a01_dialogue,15,玩家,什麼……？,,,,,,,a01_dialogue_15
a01_dialogue,16,系統,同時又長出了新觸手纏住了琉璃自己,,,,,,a02_dialogue,a01_dialogue_16
a02_dialogue,1,琉璃,這是……怎麼一回事……,CG1,None,,,,,a02_dialogue_1
a02_dialogue,2,系統,觸手固定住了琉璃的四肢，伸出的觸手也破壞了琉璃原本的衣服,,,,,,,a02_dialogue_2
a02_dialogue,3,系統,而破壞的衣服中，琉璃的胸部毫無遮掩的跑了出來,,,,,,,a02_dialogue_3
a02_dialogue,4,琉璃,等等……這個觸手在亂揉哪裡,,,,,,,a02_dialogue_4
a02_dialogue,5,琉璃,胸部不行……,,,,,,,a02_dialogue_5
a02_dialogue,6,琉璃,手腳也動彈不得，為什麼會不聽控制呢……,,,,,,,a02_dialogue_6
a02_dialogue,7,琉璃,啊嗯……！胸部如果那樣摸的話……,,,,,,,a02_dialogue_7
a02_dialogue,8,琉璃,不行……嗯！這觸手到底怎麼了……,,,,,,,a02_dialogue_8
a02_dialogue,9,系統,延伸出來的觸手將琉璃的胸部給包裹住,,,,,,,a02_dialogue_9
a02_dialogue,10,系統,不斷蠕動著並玩弄著眼前的肉包,,,,,,,a02_dialogue_10
a02_dialogue,11,系統,接著像是找到了目標一樣，一口氣吸住了中心處,,,,,,,a02_dialogue_11
a02_dialogue,12,琉璃,等等……乳頭不行……！,,,,,,,a02_dialogue_12
a02_dialogue,13,琉璃,哈啊……嗯嗯！嗯……啊嗚！　,,,,,,,a02_dialogue_13
a02_dialogue,14,琉璃,一口氣吸的那麼緊的話……,,,,,,,a02_dialogue_14
a02_dialogue,15,琉璃,胸部…...也被勒的更大力了,,,,,,,a02_dialogue_15
a02_dialogue,16,琉璃,明明怎麼吸母乳也不會跑出來的……啊！,,,,,,,a02_dialogue_16
a02_dialogue,17,琉璃,啊嗯…...原本就很敏感的胸部，現在又更有感覺了…….嗯！,,,,,,,a02_dialogue_17
a02_dialogue,18,系統,下面的觸手也沒有放過機會，沿著大腿悄悄的竄了上來,,,,,,,a02_dialogue_18
a02_dialogue,19,系統,並且透過內褲的縫隙筆直的伸了進去,,,,,,,a02_dialogue_19
a02_dialogue,20,琉璃,等等，這觸手又在亂摸哪裡,,,,,,,a02_dialogue_20
a02_dialogue,21,琉璃,啊嗯……哈啊…...那裡是…….,,,,,,,a02_dialogue_21
a02_dialogue,22,琉璃,不行，小穴真的不行,,,,,,,a02_dialogue_22
a02_dialogue,23,琉璃,如果現在插進來的話……,,,,,,,a02_dialogue_23
a02_dialogue,24,琉璃,絕對不行，啊嗯！…...乳頭也不行……,,,,,,,a02_dialogue_24
a02_dialogue,25,琉璃,同時進來的話絕對會壞掉的……,,,,,,,a02_dialogue_25
a02_dialogue,26,系統,此時的觸手像是接受到主人的指令一般，末端一口氣伸進了那未知的洞穴,,,,,,,a02_dialogue_26
a02_dialogue,27,琉璃,啊嗯……！嗯！嗯！不行！不行！,,,,,,,a02_dialogue_27
a02_dialogue,28,琉璃,一口氣……進來了……,,,,,,,a02_dialogue_28
a02_dialogue,29,琉璃,不行，要去了…….,,,,,,,a02_dialogue_29
a02_dialogue,30,琉璃,啊嗯…...去了！,,,,,,,a02_dialogue_30
a02_dialogue,31,系統,乳頭的刺激再加上突然的插入讓琉璃無法承受住快感,,,,,,,a02_dialogue_31
a02_dialogue,32,系統,琉璃的身子短暫抽搐著，並去了第一次,,,,,,,a02_dialogue_32
a02_dialogue,33,系統,但觸手沒有因為高潮而停下動作，開始猛烈的抽插著,,,,,,,a02_dialogue_33
a02_dialogue,34,琉璃,啊…...不行！才剛去而已…...讓我休息一下嗯！,,,,,,,a02_dialogue_34
a02_dialogue,35,琉璃,不行，明明才剛去而已……,,,,,,,a02_dialogue_35
a02_dialogue,36,琉璃,哈啊……！這根觸手也太大，還在裡面不斷的蠕動,,,,,,,a02_dialogue_36
a02_dialogue,37,琉璃,呼哈……拜託你稍微慢一點……,,,,,,,a02_dialogue_37
a02_dialogue,38,琉璃,不要一直進攻同一個地方，現在還很敏感,,,,,,,a02_dialogue_38
a02_dialogue,39,琉璃,明明只是我的觸手，為什麼這麼舒服？,,,,,,,a02_dialogue_39
a02_dialogue,40,琉璃,等等！伸到太裡面了……深處不行……嗯嗯！,,,,,,,a02_dialogue_40
a02_dialogue,41,琉璃,快住手…...只是個觸手居然這麼囂張,,,,,,,a02_dialogue_41
a02_dialogue,42,系統,觸手不斷蠕動著，朝著深處不斷的抽插,,,,,,,a02_dialogue_42
a02_dialogue,43,系統,觸手凸起的部分也不停著刺激著陰道內部,,,,,,,a02_dialogue_43
a02_dialogue,44,系統,抵達到了最深處後，就這樣朝著子宮口吸了上去,,,,,,,a02_dialogue_44
a02_dialogue,45,琉璃,不行……哈啊……嗯…...那裡不行……,,,,,,,a02_dialogue_45
a02_dialogue,46,琉璃,被這樣連續吮吸那裡的話，很快又會去了……,,,,,,,a02_dialogue_46
a02_dialogue,47,琉璃,好舒服……快感停不下來……,,,,,,,a02_dialogue_47
a02_dialogue,48,琉璃,不行、不行！刺激太強了……,,,,,,,a02_dialogue_48
a02_dialogue,49,琉璃,馬上又要去了！,,,,,,,a02_dialogue_49
a02_dialogue,50,系統,觸手加快了抽插的速度，並對著深處不斷的蹂?,,,,,,,a02_dialogue_50
a02_dialogue,51,系統,彷彿這些觸手有自己的意識一樣，只為了讓宿主獲得更多的快感,,,,,,,a02_dialogue_51
a02_dialogue,52,系統,持續舔舐……吮吸……撥弄著女性重要的地方,,,,,,,a02_dialogue_52
a02_dialogue,53,琉璃,不要！啊嗚！好刺激……哈啊…...快要不行了,,,,,,,a02_dialogue_53
a02_dialogue,54,琉璃,有什麼要來了……裡面的觸手也不停的跳動著,,,,,,,a02_dialogue_54
a02_dialogue,55,琉璃,好舒服，馬上又要去了……,,,,,,,a02_dialogue_55
a02_dialogue,56,琉璃,裡面不行！快感停不下來！,,,,,,,a02_dialogue_56
a02_dialogue,57,琉璃,要去了！裡面被觸手侵犯著，又要去了！,,,,,,,a02_dialogue_57
a02_dialogue,58,琉璃,要去了、要去了、要去了！！！,,,,,,,a02_dialogue_58
