event_ID,order,figure,dialogue,background,figur_show,BGM,sfx,vfx,next_event,UID,Anchor
a04_dialogue,1,玩家,你沒事吧？,,,,,,,a04_dialogue_1,
a04_dialogue,2,琉璃,沒⋯⋯事⋯⋯,,,,,,,a04_dialogue_2,
a04_dialogue,3,系統,琉璃的臉上還留著剛才被觸手襲擊時的紅暈，並在地上大口的喘氣著,,,,,,,a04_dialogue_3,
a04_dialogue,4,玩家,是說觸手不是你控制的嗎，怎麼會突然暴走呢……？,,,,,,,a04_dialogue_4,
a04_dialogue,5,玩家,我在旁邊也被控制住，擔心你究竟發生什麼事，卻又無法順利掙脫……,,,,,,,a04_dialogue_5,
a04_dialogue,6,琉璃,就憑你下面鼓了一大包，還說擔心我啊⋯⋯?,,,,,,,a04_dialogue_6,
a04_dialogue,7,琉璃,難不成是看到我被觸手侵襲而興奮起來了？,,,,,,,a04_dialogue_7,
a04_dialogue,8,系統,說完。琉璃用手擋住了自己的胸前和下半身,,,,,,,a04_dialogue_8,
a04_dialogue,9,系統,由於剛被觸手給攻擊，衣服被破壞後、如今的琉璃維持著幾乎全裸的姿態跪坐在面前,,,,,,,a04_dialogue_9,
a04_dialogue,10,琉璃,嘛……算了，也不想想是誰的錯……,,,,,,,a04_dialogue_10,
a04_dialogue,11,系統,琉璃自己隱約的察覺到了觸手暴走的原因,,,,,,,a04_dialogue_11,
a04_dialogue,12,系統,被附身的人會因為強烈的感情波動，導致自身無法順利地控制本來能自由操縱的觸手,,,,,,,a04_dialogue_12,
a04_dialogue,13,系統,也因為這樣觸手才會突然冒出來，並本能的找尋最近的目標找尋發洩點,,,,,,,a04_dialogue_13,
a04_dialogue,14,琉璃,（這也代表著不管是肉體的原主人，或者是精神上佔據的我都已經認可了他）,,,,,,,a04_dialogue_14,
a04_dialogue,15,琉璃,（如今的我已經無法繼續維持著原本的狀態並佔據著琉璃了）,,,,,,,a04_dialogue_15,
a04_dialogue,16,琉璃,（是時候該做出抉擇了……）,,,,,,,a04_dialogue_16,
a04_dialogue,17,琉璃,呼……我已經好多了,,,,,,,a04_dialogue_17,
a04_dialogue,18,玩家,雖然有點摸不著頭緒，但沒事就好,,,,,,,a04_dialogue_18,
a04_dialogue,19,玩家,我去幫你弄套衣服過來,,,,,,,a04_dialogue_19,
a04_dialogue,20,琉璃,等等，在那之前先處理好你底下的那一大包吧,,,,,,,a04_dialogue_20,
a04_dialogue,21,琉璃,就你這樣子還有辦法出去嗎？,,,,,,,a04_dialogue_21,
a04_dialogue,22,玩家,我……你真的沒事了嗎……？,,,,,,,a04_dialogue_22,
a04_dialogue,23,琉璃,都說了沒事了，就憑這小小的觸手還想讓我滿足,,,,,,,a04_dialogue_23,
a04_dialogue,24,琉璃,搞得老娘現在慾火焚身的，趕緊把衣服給拖了吧,,,,,,,a04_dialogue_24,
a04_dialogue,25,琉璃,我是擔心你……但現在就先聽你的吧,,,,,,,a04_dialogue_25,
a04_dialogue,26,系統,我慢慢地脫去了身上的衣服,,,,,,a05_dialogue,a04_dialogue_26,
a05_dialogue,1,系統,琉璃也將原本破掉的衣服給脫去，如今一絲不掛的在我的面前,CG2,None,lyrical,,黑屏轉場,,a05_dialogue_1,
a05_dialogue,2,系統,臉上帶著紅暈的她，嘴角還留著剛才因為高潮而留下的口水,,,,,,,a05_dialogue_2,
a05_dialogue,3,系統,我用手抹去了她嘴角的唾液，隨後直直的吻了上去,,,,,,,a05_dialogue_3,
a05_dialogue,4,琉璃,哈嗯……？嗯……！,,,,,,,a05_dialogue_4,
a05_dialogue,5,系統,被奪去雙唇的琉璃一開始還因為震驚而感到抗拒，隨後便放棄了抵抗,,,,,,,a05_dialogue_5,
a05_dialogue,6,系統,琉璃的舌頭也主動纏了上來，像是要宣示主權一樣朝我反擊,,,,,,,a05_dialogue_6,
a05_dialogue,7,系統,而我也順著琉璃的舌頭，一起享受著接吻的快感,,,,,,,a05_dialogue_7,
a05_dialogue,8,系統,同時我將手伸往琉璃的下方，由於剛剛已經高潮過幾次，如今小穴也已經濕透不已,,,,,,,a05_dialogue_8,
a05_dialogue,9,玩家,看這樣子是能夠直接插進去了吧？,,,,,,,a05_dialogue_9,
a05_dialogue,10,琉璃,嗯……快點進來吧！,,,,,,,a05_dialogue_10,
a05_dialogue,11,系統,於是我挺出我的肉棒，狠狠的往琉璃的內部插了進去,,,,sex_sfx,,,a05_dialogue_11,
a05_dialogue,12,系統,在被觸手侵犯過的小穴，早已做好了準備將我的肉棒給吞了進去,,,,,,,a05_dialogue_12,
a05_dialogue,13,琉璃,啊嗯……！,,,,,,,a05_dialogue_13,
a05_dialogue,14,系統,一想到這個女人明明剛被觸手侵犯完，現在馬上又渴求著我的肉棒，讓我跟著興奮了起來,,,,,,,a05_dialogue_14,
a05_dialogue,15,玩家,（這女人是有多好色啊……）,,,,,,,a05_dialogue_15,
a05_dialogue,16,系統,但一想到剛剛被觸手侵犯的景象，又讓我有點吃醋了起來,,,,,,,a05_dialogue_16,
a05_dialogue,17,系統,於是我一口氣挺到了最深處，並激烈的抽插起來,,,,,,,a05_dialogue_17,
a05_dialogue,18,琉璃,呀嗚……好深……啊嗯！啊、啊、好激烈……,,,,,,,a05_dialogue_18,
a05_dialogue,19,琉璃,啊……嗯嗯……今天怎麼比以前都還要強勢不少……啊嗯！,,,,,,,a05_dialogue_19,
a05_dialogue,20,系統,像是要抹除剛剛觸手留下的痕跡一樣，我的肉棒不斷的往最深處做活塞運動,,,,,,,a05_dialogue_20,
a05_dialogue,21,系統,同時狠狠的吻了上去,,,,,,,a05_dialogue_21,
a05_dialogue,22,琉璃,嗯嗯嗯！嗯啾……啊嗚……嗯……,,,,,,,a05_dialogue_22,
a05_dialogue,23,琉璃,嗯嗯！啾、嗯！嗯！嗯！嗯啾……,,,,,,,a05_dialogue_23,
a05_dialogue,24,系統,舌頭在彼此的嘴唇中攪動著，同時腰部也激烈的碰撞再一起,,,,,,,a05_dialogue_24,
a05_dialogue,25,系統,每當我撞擊到最深處時，琉璃的身體就會顫抖一下,,,,,,,a05_dialogue_25,
a05_dialogue,26,系統,而我也不斷的朝著琉璃的弱點攻擊著,,,,,,,a05_dialogue_26,
a05_dialogue,27,琉璃,啊啊……那裡不行，嗯啊、好舒服、啊啊……,,,,,,,a05_dialogue_27,
